SKU,Name,[prototype],[category] Category,Price,Cost Price,Available On,[option](size) Sizes,[option](color) Colors,[property] Material,Description
GLM-WAVE-HOODIE,Gin Lane Wave Hoodie,Top,Hoodie,49,20,8/15/2013,"S, M, L, XL","Navy, Purple, White","50% POLYESTER, 50% COTTON",Our Surf The Net hoodie is made with a 100% cotton blend to keep you warm all year round.
GLM-WAVE-POCKET-T,Gin Lane Wave White T w/ Pocket Wave,Top,Shirt,29,5,8/15/2013,"S, M, L, XL","Blue Wave, Gold Wave",100% COTTON,The classic american pocket T-shirt. Our signature pixel wave is emblazoned on the left breast pocket. 100% cotton blend.
GLM-WAVE-T,Gin Lane Wave T,Top,Shirt,29,2,8/5/2013,"S, M, L, XL","Navy, Neon Yellow",100% COTTON,"The 8-bit original. Emblazoned with our signature pixel wave, The Surf The Net T-shirt is made with a 100% cotton blend. "
GLM-HAT,Gin Lane Wave Hat,Hat,Hat,39,10,8/20/2013,,White,,"Classic 5 panel snapback. 8-bit logo on the front, ""GIN LANE"" above the back's opening, and a green under-brim."
GLM-BEANIE,GIN LANE Beanie,Hat,Beanie,29,5,8/15/2013,,White,,Classically designed in ribbed white with navy block letters. The beanie is hand-knit in Wisconsin.
GLM-WAVE-LIGHT,Gin Lane Wave Lighter,Other,Accessories,5,1,8/20/2013,,Navy,,The first lighter by Gin Lane features the 8-bit original Surf the Net logo. Bic powered.
GLM-WAVE-MOUSEPAD,Gin Lane Wave Mousepad,Other,Accessories,10,2,8/20/2013,,Sky Blue,,Classic Bic lighter with custom 8-bit wave print.
GLM-WAVE-NOTEBOOK,Gin Lane Stamped Muji Notebook,Other,Accessories,2,1,8/25/2013,,Brown,,Muji Notebook with Custom GLM stamp on front / back.
